alg_name,array_size,k_value,threshold,num_threads,mean_time,std_time
kway_par,1048576,4,256,2,0.09632774000000001,0.003630503635365207
kway_par,1048576,4,256,4,0.06094434,0.0023009339117845153
kway_par,1048576,4,256,8,0.06590122000000001,0.003500773351361097
kway_par,1048576,4,1024,2,0.0854618,0.0013029403025465157
kway_par,1048576,4,1024,4,0.05902942,0.002277752101875882
kway_par,1048576,4,1024,8,0.05386344,0.002706436382847377
kway_par,1048576,4,4096,2,0.0791057,0.0022123991918277324
kway_par,1048576,4,4096,4,0.05249736000000001,0.0018337522849065512
kway_par,1048576,4,4096,8,0.04934942,0.0012188726322302924
kway_par,1048576,8,16,2,0.14755200000000002,0.00864624519661569
kway_par,1048576,8,16,4,0.1437076,0.0067207178664187356
kway_par,1048576,8,16,8,0.1867528,0.003214738583462122
kway_par,1048576,8,64,2,0.10319698,0.004705569461988634
kway_par,1048576,8,64,4,0.08191098,0.007048121616260605
kway_par,1048576,8,64,8,0.05991536000000001,0.0021030904788905316
kway_par,1048576,8,256,2,0.08255678,0.0020001278333146607
kway_par,1048576,8,256,4,0.06126558000000001,0.0012291330105403543
kway_par,1048576,8,256,8,0.05378086,0.002710131380283988
kway_par,1048576,8,1024,2,0.08503335999999999,0.002624259175919938
kway_par,1048576,8,1024,4,0.06080914,0.0016096208269030302
kway_par,1048576,8,1024,8,0.0497567,0.001755678781554302
kway_par,1048576,8,4096,2,0.072105,0.0009706196845314865
kway_par,1048576,8,4096,4,0.051234520000000006,0.0009578351244342633
kway_par,1048576,8,4096,8,0.04288268,0.0005150810631347274
kway_par,1048576,16,16,2,0.09800006,0.004541867471250127
kway_par,1048576,16,16,4,0.07490606,0.001113028963863926
kway_par,1048576,16,16,8,0.0752127,0.0030406632927701778
kway_par,1048576,16,64,2,0.10034874,0.0027946953691592243
kway_par,1048576,16,64,4,0.07769828000000001,0.0025940564638419136
kway_par,1048576,16,64,8,0.07250196,0.0012971262461302683
kway_par,1048576,16,256,2,0.0825504,0.0012862112268208488
kway_par,1048576,16,256,4,0.06007372,0.0018962037816648296
kway_par,1048576,16,256,8,0.05028252,0.0028910485623039935
kway_par,1048576,16,1024,2,0.07988172,0.0010318092428351258
kway_par,1048576,16,1024,4,0.05801874,0.000941339663670876
kway_par,1048576,16,1024,8,0.05133046,0.0009519564729545141
kway_par,1048576,16,4096,2,0.07049264,0.0010838059523733928
kway_par,1048576,16,4096,4,0.05341602000000001,0.0019085617500096766
kway_par,1048576,16,4096,8,0.04506928,0.0004399780785448293
kway_par,1048576,32,16,2,0.25132,0.017829442279555463
kway_par,1048576,32,16,4,0.38855080000000003,0.03695480749997218
kway_par,1048576,32,16,8,0.5703384,0.0074460735854542884
kway_par,1048576,32,64,2,0.09516232,0.0037932030140238994
kway_par,1048576,32,64,4,0.06950754,0.001462053697509091
kway_par,1048576,32,64,8,0.06692214,0.0037696213404531786
kway_par,1048576,32,256,2,0.09915596,0.014717181942967207
kway_par,1048576,32,256,4,0.0699635,0.002990115601109759
kway_par,1048576,32,256,8,0.06380171999999999,0.002820093369659946
kway_par,1048576,32,1024,2,0.07378188,0.0008317843335865386
kway_par,1048576,32,1024,4,0.06292776,0.0019839064923529025
kway_par,1048576,32,1024,8,0.052366939999999994,0.0016774359476295969
kway_par,1048576,32,4096,2,0.07618712,0.0020012020711562347
kway_par,1048576,32,4096,4,0.059564240000000004,0.0013363018829590865
kway_par,1048576,32,4096,8,0.05296504,0.001930451340593696
kway_par,4194304,2,16,2,0.8107257999999999,0.019570103948625326
kway_par,4194304,2,16,4,0.6853096,0.00795860778277209
kway_par,4194304,2,16,8,0.5196418,0.013350838841061656
kway_par,4194304,2,64,2,0.6782776,0.02984088846934688
kway_par,4194304,2,64,4,0.5648276000000001,0.01489457021333615
kway_par,4194304,2,64,8,0.41306080000000006,0.012525396335445851
kway_par,4194304,2,256,2,0.5978698,0.017514944218009938
kway_par,4194304,2,256,4,0.4939935999999999,0.006606969489864472
kway_par,4194304,2,256,8,0.35867480000000007,0.008919454499015059
kway_par,4194304,2,1024,2,0.5245629999999999,0.009449759552496592
kway_par,4194304,2,1024,4,0.4552932,0.018120875292325145
kway_par,4194304,2,1024,8,0.3323262,0.008442205858660392
kway_par,4194304,2,4096,2,0.47838239999999993,0.008135340376407129
kway_par,4194304,2,4096,4,0.40682519999999994,0.009792132625735823
kway_par,4194304,2,4096,8,0.2930806,0.00429368562426267
kway_par,4194304,4,16,2,0.5346664000000001,0.020940328751956117
kway_par,4194304,4,16,4,0.34949620000000003,0.008119609680274045
kway_par,4194304,4,16,8,0.32347000000000004,0.0037567551424068217
kway_par,4194304,4,64,2,0.4795374,0.004190081125706263
kway_par,4194304,4,64,4,0.305736,0.012801700402680886
kway_par,4194304,4,64,8,0.24932160000000003,0.004237854391080472
kway_par,4194304,4,256,2,0.42784279999999997,0.014140015210741468
kway_par,4194304,4,256,4,0.28127300000000005,0.03648117710820198
kway_par,4194304,4,256,8,0.2611192,0.02317662947367455
kway_par,4194304,4,1024,2,0.39054900000000004,0.013825371749070618
kway_par,4194304,4,1024,4,0.2535618,0.010601342148992264
kway_par,4194304,4,1024,8,0.2266506,0.00330870775983616
kway_par,4194304,4,4096,2,0.3521166,0.008637010584687285
kway_par,4194304,4,4096,4,0.229756,0.004042930372885492
kway_par,4194304,4,4096,8,0.194408,0.003004934075815975
kway_par,4194304,8,16,2,0.44808339999999997,0.00528938138537957
kway_par,4194304,8,16,4,0.33398959999999994,0.017629399225157955
kway_par,4194304,8,16,8,0.3010288,0.022528927789843885
kway_par,4194304,8,64,2,0.49923140000000005,0.05210880072924344
kway_par,4194304,8,64,4,0.322138,0.004170038465050412
kway_par,4194304,8,64,8,0.2928786,0.0058324521635415095
kway_par,4194304,8,256,2,0.3868388,0.007884655259426372
kway_par,4194304,8,256,4,0.27390919999999996,0.004685965830007718
kway_par,4194304,8,256,8,0.2104336,0.017172191457120435
kway_par,4194304,8,1024,2,0.34514279999999997,0.00699198685353456
kway_par,4194304,8,1024,4,0.23813979999999998,0.00669595434273562
kway_par,4194304,8,1024,8,0.18804939999999998,0.003942836522099295
